ID,Name,Begin date,End date,Duration,Completion,Coordinator,Predecessors,Outline number,Web Link,Resources,Notes
150,WP0: Coordination,2016-01-01,2018-01-01,522,0,,,1,,,
3,"  T0.0: Team building",2016-01-01,2016-01-28,20,0,,,1.1,,,
151,"  T0.1: Project management and communication",2016-01-01,2018-01-01,522,0,,,1.2,,,
158,"  T0.2: Collaboration and internal communication",2016-01-01,2018-01-01,522,0,,,1.3,,,
4,"  T0.3: Publications",2016-08-12,2018-01-01,362,0,,3;13,1.4,,,
1,WP1: Model of emotional appraisal,2016-01-29,2017-12-28,500,0,,3,2,,,
5,"  T1.0:Scientific sources review",2016-01-29,2016-04-21,60,0,,,2.1,,,
12,"  T1.1:Analysis",2016-04-22,2016-06-16,40,0,,5,2.2,,,
159,"  WP1.1: Emotional appraisal prototype v.1",2016-06-17,2016-12-29,140,0,,,2.3,,,
13,"    T1.1.0: Model development",2016-06-17,2016-08-11,40,0,,12,2.3.1,,,
14,"    T1.1.1:Prototype development",2016-08-12,2016-11-03,60,0,,13,2.3.2,,,
15,"    T1.1.2:Testing and experimenting",2016-11-04,2016-12-01,20,0,,14,2.3.3,,,
16,"    T1.1.3:Analysis of results",2016-12-02,2016-12-29,20,0,,15,2.3.4,,,
133,"    M1.1.4:Initial appraisal",2016-12-30,2016-12-30,0,0,,16,2.3.5,,,
162,"  WP1.2 Emotional appraisal prototype v.2",2016-12-30,2017-07-13,140,0,,,2.4,,,
17,"    T1.2.0: Model update",2016-12-30,2017-02-09,30,0,,16,2.4.1,,,
18,"    T1.2.1: Prototype development",2017-02-10,2017-05-04,60,0,,17,2.4.2,,,
19,"    T1.2.2: Testing and experiments",2017-05-05,2017-06-15,30,0,,18,2.4.3,,,
20,"    T1.2.3: Analysis of results",2017-06-16,2017-07-13,20,0,,19,2.4.4,,,
137,"    M1.2.4: Updated appraisal",2017-07-14,2017-07-14,0,0,,20,2.4.5,,,
165,"  WP1.3 Emotional appraisal prototype v.3",2017-07-14,2017-12-28,120,0,,,2.5,,,
80,"    T1.3.0: Model update",2017-07-14,2017-08-24,30,0,,20,2.5.1,,,
82,"    T1.3.1: Prototype development",2017-08-25,2017-11-16,60,0,,80,2.5.2,,,
84,"    T1.3.2: Testing and experiments",2017-11-17,2017-12-14,20,0,,82,2.5.3,,,
86,"    T1.3.3: Analysis of results",2017-12-15,2017-12-28,10,0,,84,2.5.4,,,
141,"    M1.3.4: Final appraisal",2017-12-29,2017-12-29,0,0,,86,2.5.5,,,
0,WP2: Emotional simulation,2016-01-29,2017-06-01,350,0,,3,3,,,
30,"  T2.0: Neuromodulation Architecture specification",2016-01-29,2016-01-29,1,0,,,3.1,,,
47,"  WP2.1: Dopamine",2016-01-29,2016-06-30,110,0,,,3.2,,,
43,"    T2.1.0: Basal ganglia simple model implementation",2016-01-29,2016-02-25,20,0,,,3.2.1,,,
45,"    T2.1.1: Basal ganglia with extended feedback loops",2016-02-26,2016-04-07,30,0,,43,3.2.2,,,
49,"    T2.1.2: Basal ganglia with feedback loops and realistic number of neurons",2016-04-08,2016-06-30,60,0,,45,3.2.3,,,
142,"  Dopamine prototype",2016-07-01,2016-07-01,0,0,,47,3.3,,,
51,"  WP2.2: Serotonin (5HT)",2016-07-01,2016-12-01,110,0,,47,3.4,,,
53,"    5HT neuron/synapse",2016-07-01,2016-08-11,30,0,,,3.4.1,,,
55,"    5HT pathway reduced number of neurons",2016-08-12,2016-09-08,20,0,,53,3.4.2,,,
79,"    5HT pathway relistic scale",2016-09-09,2016-12-01,60,0,,55,3.4.3,,,
146,"  M2.2: 5HT + DA prototype",2016-12-02,2016-12-02,1,0,,51,3.5,,,
57,"  WP2.3: Noradrenaline",2016-12-02,2017-06-01,130,0,,51,3.6,,,
59,"    T2.3.0: Noradrenaline neuron/synapse model",2016-12-02,2016-12-29,20,0,,,3.6.1,,,
61,"    T2.3.1: Noradrenaline neuron/synapse",2016-12-30,2017-02-09,30,0,,59,3.6.2,,,
63,"    T2.3.2: Noradrenaline projections reduced number of neurons",2017-02-10,2017-03-09,20,0,,61,3.6.3,,,
65,"    T2.3.3: Noradrenaline projections realistic scales",2017-03-10,2017-06-01,60,0,,63,3.6.4,,,
149,"  M2.3: NA + 5HT + DA prototype",2017-06-02,2017-06-02,0,0,,57,3.7,,,
94,WP 3: Instinctive reactions,2017-06-02,2017-08-24,60,0,,57,4,,,
95,WP 4: Learned reactions,2017-08-25,2018-01-01,92,0,,94,5,,,
96,WP 5: Deliberative thinking,2017-08-25,2018-01-01,92,0,,94,6,,,
